Player,Team,Position,Value,Teams,Scoring
Lamar Jackson,BAL,QB,32,8,Half-PPR
Josh Jacobs,GB,RB,31,8,Half-PPR
Brian Thomas Jr.,JAC,WR,31,8,Half-PPR
Nico Collins,HOU,WR,31,8,Half-PPR
George Kittle,SF,TE,29,8,Half-PPR
Ashton Jeanty,LV,RB,27,8,Half-PPR
Ladd McConkey,LAC,WR,27,8,Half-PPR
Trey McBride,ARI,TE,27,8,Half-PPR
Jonathan Taylor,IND,RB,26,8,Half-PPR
Kyren Williams,LAR,RB,25,8,Half-PPR
Jalen Hurts,PHI,QB,24,8,Half-PPR
Jayden Daniels,WAS,QB,24,8,Half-PPR
Bucky Irving,TB,RB,24,8,Half-PPR
Drake London,ATL,WR,24,8,Half-PPR
Tyreek Hill,MIA,WR,23,8,Half-PPR
A.J. Brown,PHI,WR,23,8,Half-PPR
Mike Evans,TB,WR,22,8,Half-PPR
Chase Brown,CIN,RB,21,8,Half-PPR
Tee Higgins,CIN,WR,21,8,Half-PPR
Terry McLaurin,WAS,WR,20,8,Half-PPR
Joe Burrow,CIN,QB,19,8,Half-PPR
James Cook,BUF,RB,19,8,Half-PPR
Davante Adams,LAR,WR,19,8,Half-PPR
Breece Hall,NYJ,RB,18,8,Half-PPR
Alvin Kamara,NO,RB,16,8,Half-PPR
Jaxon Smith-Njigba,SEA,WR,16,8,Half-PPR
James Conner,ARI,RB,15,8,Half-PPR
Kenneth Walker III,SEA,RB,15,8,Half-PPR
Marvin Harrison Jr.,ARI,WR,15,8,Half-PPR
DK Metcalf,PIT,WR,14,8,Half-PPR
Omarion Hampton,LAC,RB,13,8,Half-PPR
Sam LaPorta,DET,TE,13,8,Half-PPR
Chuba Hubbard,CAR,RB,12,8,Half-PPR
Garrett Wilson,NYJ,WR,12,8,Half-PPR
Travis Kelce,KC,TE,12,8,Half-PPR
Patrick Mahomes II,KC,QB,11,8,Half-PPR
Aaron Jones Sr.,MIN,RB,11,8,Half-PPR
DJ Moore,CHI,WR,11,8,Half-PPR
Mark Andrews,BAL,TE,11,8,Half-PPR
Joe Mixon,HOU,RB,10,8,Half-PPR
D'Andre Swift,CHI,RB,10,8,Half-PPR
Zay Flowers,BAL,WR,10,8,Half-PPR
Courtland Sutton,DEN,WR,10,8,Half-PPR
Baker Mayfield,TB,QB,9,8,Half-PPR
David Montgomery,DET,RB,9,8,Half-PPR
Xavier Worthy,KC,WR,9,8,Half-PPR
T.J. Hockenson,MIN,TE,9,8,Half-PPR
DeVonta Smith,PHI,WR,8,8,Half-PPR
Kyler Murray,ARI,QB,7,8,Half-PPR
Tony Pollard,TEN,RB,7,8,Half-PPR
Calvin Ridley,TEN,WR,7,8,Half-PPR
David Njoku,CLE,TE,7,8,Half-PPR
TreVeyon Henderson,NE,RB,6,8,Half-PPR
Kaleb Johnson,PIT,RB,6,8,Half-PPR
Isiah Pacheco,KC,RB,6,8,Half-PPR
Jameson Williams,DET,WR,6,8,Half-PPR
Jerry Jeudy,CLE,WR,6,8,Half-PPR
Brock Purdy,SF,QB,5,8,Half-PPR
