player,team,pos,scoring,points
Ray Davis,BUF,RB,PPR,95.36
Jalen Tolbert,DAL,WR,Standard,69.75
Jalen Tolbert,DAL,WR,Half-PPR,87.8
Jalen Tolbert,DAL,WR,PPR,105.85
Theo Johnson,NYG,TE,Standard,64.5
Theo Johnson,NYG,TE,Half-PPR,87.4
Theo Johnson,NYG,TE,PPR,110.29
Roschon Johnson,CHI,RB,Standard,76.02
Roschon Johnson,CHI,RB,Half-PPR,87.04
Roschon Johnson,CHI,RB,PPR,98.07
Ray-Ray McCloud III,ATL,WR,Standard,64.48
Ray-Ray McCloud III,ATL,WR,Half-PPR,86.54
Ray-Ray McCloud III,ATL,WR,PPR,108.6
Mason Taylor,NYJ,TE,Standard,62.78
Mason Taylor,NYJ,TE,Half-PPR,85.65
Mason Taylor,NYJ,TE,PPR,108.52
Justice Hill,BAL,RB,Standard,67.7
Justice Hill,BAL,RB,Half-PPR,84.83
Justice Hill,BAL,RB,PPR,101.96
Tre Tucker,LV,WR,Standard,67.04
Tre Tucker,LV,WR,Half-PPR,84.66
Tre Tucker,LV,WR,PPR,102.29
Kyle Williams,NE,WR,Standard,64.84
Kyle Williams,NE,WR,Half-PPR,83.77
Kyle Williams,NE,WR,PPR,102.71
Trey Benson,ARI,RB,Standard,76.74
Trey Benson,ARI,RB,Half-PPR,83.64
Trey Benson,ARI,RB,PPR,90.54
Nick Chubb,HOU,RB,Standard,78.42
Nick Chubb,HOU,RB,Half-PPR,83.45
Nick Chubb,HOU,RB,PPR,88.48
Allen Lazard,NYJ,WR,Standard,65.97
Allen Lazard,NYJ,WR,Half-PPR,82.82
Allen Lazard,NYJ,WR,PPR,99.68
Tutu Atwell,LAR,WR,Standard,63.34
Tutu Atwell,LAR,WR,Half-PPR,82.58
Tutu Atwell,LAR,WR,PPR,101.82
Deshaun Watson,CLE,QB,Standard,79.66
Deshaun Watson,CLE,QB,Half-PPR,79.66
Deshaun Watson,CLE,QB,PPR,79.66
Braelon Allen,NYJ,RB,Standard,70.19
Braelon Allen,NYJ,RB,Half-PPR,79.58
Braelon Allen,NYJ,RB,PPR,88.96
DeAndre Hopkins,BAL,WR,Standard,63.21
DeAndre Hopkins,BAL,WR,Half-PPR,79.2
DeAndre Hopkins,BAL,WR,PPR,95.19
Kye Robichaux,DET,RB,Standard,67.43
Kye Robichaux,DET,RB,Half-PPR,79.1
Kye Robichaux,DET,RB,PPR,90.77
Brenden Bates,CLE,TE,Standard,67.43
Brenden Bates,CLE,TE,Half-PPR,79.1
Brenden Bates,CLE,TE,PPR,90.77
Elijah Arroyo,SEA,TE,Standard,58.06
Elijah Arroyo,SEA,TE,Half-PPR,78.63
Elijah Arroyo,SEA,TE,PPR,99.2
Jaydon Blue,DAL,RB,Standard,68.91
Jaydon Blue,DAL,RB,Half-PPR,78.27
Jaydon Blue,DAL,RB,PPR,87.62
Brandin Cooks,NO,WR,Standard,59.6
Brandin Cooks,NO,WR,Half-PPR,77.96
Brandin Cooks,NO,WR,PPR,96.31
Josh Reynolds,NYJ,WR,Standard,61.7
Josh Reynolds,NYJ,WR,Half-PPR,77.79
Josh Reynolds,NYJ,WR,PPR,93.88
Will Dissly,LAC,TE,Standard,55.21
Will Dissly,LAC,TE,Half-PPR,76.66
Will Dissly,LAC,TE,PPR,98.11
Andrei Iosivas,CIN,WR,Standard,61.23
Andrei Iosivas,CIN,WR,Half-PPR,76.6
Andrei Iosivas,CIN,WR,PPR,91.97
Bhayshul Tuten,JAC,RB,Standard,67.35
Bhayshul Tuten,JAC,RB,Half-PPR,75.71
Bhayshul Tuten,JAC,RB,PPR,84.07
MarShawn Lloyd,GB,RB,Standard,68.95
MarShawn Lloyd,GB,RB,Half-PPR,75.61
MarShawn Lloyd,GB,RB,PPR,82.28
Dylan Sampson,CLE,RB,Standard,65.43
Dylan Sampson,CLE,RB,Half-PPR,74.61
Dylan Sampson,CLE,RB,PPR,83.78
Ja'Tavion Sanders,CAR,TE,Standard,54.04
Ja'Tavion Sanders,CAR,TE,Half-PPR,74.6
Ja'Tavion Sanders,CAR,TE,PPR,95.17
Jaylen Wright,MIA,RB,Standard,67.43
Jaylen Wright,MIA,RB,Half-PPR,74.25
Jaylen Wright,MIA,RB,PPR,81.08
Jalen Coker,CAR,WR,Standard,56.59
Jalen Coker,CAR,WR,Half-PPR,73.82
Jalen Coker,CAR,WR,PPR,91.04
Zack Moss,CIN,RB,Standard,62.72
Zack Moss,CIN,RB,Half-PPR,73.28
Zack Moss,CIN,RB,PPR,83.84
Dyami Brown,JAC,WR,Standard,55.28
Dyami Brown,JAC,WR,Half-PPR,73.01
Dyami Brown,JAC,WR,PPR,90.75
Cole Kmet,CHI,TE,Standard,53.61
Cole Kmet,CHI,TE,Half-PPR,72.67
Cole Kmet,CHI,TE,PPR,91.74
Kendre Miller,NO,RB,Standard,65.81
Kendre Miller,NO,RB,Half-PPR,72.58
Kendre Miller,NO,RB,PPR,79.35
Noah Gray,KC,TE,Standard,54.14
Noah Gray,KC,TE,Half-PPR,71.86
Noah Gray,KC,TE,PPR,89.57
Kayshon Boutte,NE,WR,Standard,55.42
Kayshon Boutte,NE,WR,Half-PPR,71.06
Kayshon Boutte,NE,WR,PPR,86.71
Diontae Johnson,CLE,WR,Standard,52.78
Diontae Johnson,CLE,WR,Half-PPR,70.49
Diontae Johnson,CLE,WR,PPR,88.2
Marquez Valdes-Scantling,SEA,WR,Standard,56.83
Marquez Valdes-Scantling,SEA,WR,Half-PPR,70.28
Marquez Valdes-Scantling,SEA,WR,PPR,83.72
Taysom Hill,NO,TE,Standard,59.98
Taysom Hill,NO,TE,Half-PPR,70.27
Taysom Hill,NO,TE,PPR,80.56
Noah Brown,WAS,WR,Standard,52.63
Noah Brown,WAS,WR,Half-PPR,69.1
Noah Brown,WAS,WR,PPR,85.56
Ty Johnson,BUF,RB,Standard,59.01
Ty Johnson,BUF,RB,Half-PPR,68.14
Ty Johnson,BUF,RB,PPR,77.28
Tyler Conklin,LAC,TE,Standard,49.66
Tyler Conklin,LAC,TE,Half-PPR,68.03
Tyler Conklin,LAC,TE,PPR,86.4
Demarcus Robinson,SF,WR,Standard,55.63
Demarcus Robinson,SF,WR,Half-PPR,67.37
Demarcus Robinson,SF,WR,PPR,79.12
Raheem Mostert,LV,RB,Standard,58.14
Raheem Mostert,LV,RB,Half-PPR,67.35
Raheem Mostert,LV,RB,PPR,76.57
Russell Gage Jr.,SF,WR,Standard,51.48
Russell Gage Jr.,SF,WR,Half-PPR,67.28
Russell Gage Jr.,SF,WR,PPR,83.08
Dontayvion Wicks,GB,WR,Standard,52.25
Dontayvion Wicks,GB,WR,Half-PPR,66.37
Dontayvion Wicks,GB,WR,PPR,80.48
Miles Sanders,DAL,RB,Standard,58.87
Miles Sanders,DAL,RB,Half-PPR,66.36
Miles Sanders,DAL,RB,PPR,73.84
Kyle Philips,LV,WR,Standard,49.54
Kyle Philips,LV,WR,Half-PPR,65.64
Kyle Philips,LV,WR,PPR,81.74
Dont'e Thornton Jr.,LV,WR,Standard,51.36
Dont'e Thornton Jr.,LV,WR,Half-PPR,65.61
Dont'e Thornton Jr.,LV,WR,PPR,79.86
Greg Dortch,ARI,WR,Standard,48.22
Greg Dortch,ARI,WR,Half-PPR,64.27
Greg Dortch,ARI,WR,PPR,80.32
Devaughn Vele,DEN,WR,Standard,47.93
Devaughn Vele,DEN,WR,Half-PPR,64.04
Devaughn Vele,DEN,WR,PPR,80.15
Jalen Nailor,MIN,WR,Standard,50.69
Jalen Nailor,MIN,WR,Half-PPR,63.8
Jalen Nailor,MIN,WR,PPR,76.91
AJ Barner,SEA,TE,Standard,47.13
AJ Barner,SEA,TE,Half-PPR,63.73
AJ Barner,SEA,TE,PPR,80.32
Pat Bryant,DEN,WR,Standard,50.19
Pat Bryant,DEN,WR,Half-PPR,63.68
Pat Bryant,DEN,WR,PPR,77.18
Adonai Mitchell,IND,WR,Standard,49.32
Adonai Mitchell,IND,WR,Half-PPR,62.44
Adonai Mitchell,IND,WR,PPR,75.55
Curtis Samuel,BUF,WR,Standard,47.48
Curtis Samuel,BUF,WR,Half-PPR,61.95
Curtis Samuel,BUF,WR,PPR,76.43
Jaxson Dart,NYG,QB,Standard,61.71
Jaxson Dart,NYG,QB,Half-PPR,61.71
Jaxson Dart,NYG,QB,PPR,61.71
Troy Franklin,DEN,WR,Standard,48.1
Troy Franklin,DEN,WR,Half-PPR,61.24
Troy Franklin,DEN,WR,PPR,74.38
Zamir White,LV,RB,Standard,54.7
Zamir White,LV,RB,Half-PPR,60.45
Zamir White,LV,RB,PPR,66.2
Christian Watson,GB,WR,Standard,50.05
Christian Watson,GB,WR,Half-PPR,60.3
Christian Watson,GB,WR,PPR,70.55
Kirk Cousins,ATL,QB,Standard,60.02
Kirk Cousins,ATL,QB,Half-PPR,60.02
Kirk Cousins,ATL,QB,PPR,60.02
Jordan Whittington,LAR,WR,Standard,45.61
Jordan Whittington,LAR,WR,Half-PPR,59.76
Jordan Whittington,LAR,WR,PPR,73.91
Robbie Ouzts,SEA,RB,Standard,43.3
Robbie Ouzts,SEA,RB,Half-PPR,59.63
Robbie Ouzts,SEA,RB,PPR,75.97
Robbie Ouzts,SEA,TE,Standard,43.3
Robbie Ouzts,SEA,TE,Half-PPR,59.63
Robbie Ouzts,SEA,TE,PPR,75.97
KaVontae Turpin,DAL,WR,Standard,45.92
KaVontae Turpin,DAL,WR,Half-PPR,56.96
KaVontae Turpin,DAL,WR,PPR,68
Blake Corum,LAR,RB,Standard,51.77
Blake Corum,LAR,RB,Half-PPR,56.32
Blake Corum,LAR,RB,PPR,60.87
Dillon Gabriel,CLE,QB,Standard,55.76
Dillon Gabriel,CLE,QB,Half-PPR,55.76
Dillon Gabriel,CLE,QB,PPR,55.76
Elijah Moore,BUF,WR,Standard,41.16
Elijah Moore,BUF,WR,Half-PPR,55.67
Elijah Moore,BUF,WR,PPR,70.18
Tim Patrick,DET,WR,Standard,42.39
Tim Patrick,DET,WR,Half-PPR,54.61
Tim Patrick,DET,WR,PPR,66.83
Foster Moreau,NO,TE,Standard,42.09
Foster Moreau,NO,TE,Half-PPR,54.3
Foster Moreau,NO,TE,PPR,66.5
Will Shipley,PHI,RB,Standard,47.7
Will Shipley,PHI,RB,Half-PPR,53.96
Will Shipley,PHI,RB,PPR,60.23
Austin Hooper,NE,TE,Standard,38.7
Austin Hooper,NE,TE,Half-PPR,53.59
Austin Hooper,NE,TE,PPR,68.48
Kendrick Bourne,NE,WR,Standard,39.63
Kendrick Bourne,NE,WR,Half-PPR,53.01
Kendrick Bourne,NE,WR,PPR,66.39
Devin Singletary,NYG,RB,Standard,46.39
Devin Singletary,NYG,RB,Half-PPR,52.34
Devin Singletary,NYG,RB,PPR,58.29
Jaylin Noel,HOU,WR,Standard,39.71
Jaylin Noel,HOU,WR,Half-PPR,51.38
Jaylin Noel,HOU,WR,PPR,63.05
Shedeur Sanders,CLE,QB,Standard,50.77
Shedeur Sanders,CLE,QB,Half-PPR,50.77
Shedeur Sanders,CLE,QB,PPR,50.77
Roman Wilson,PIT,WR,Standard,38.84
Roman Wilson,PIT,WR,Half-PPR,50.12
Roman Wilson,PIT,WR,PPR,61.39
Michael Mayer,LV,TE,Standard,35.92
Michael Mayer,LV,TE,Half-PPR,50.07
Michael Mayer,LV,TE,PPR,64.22
Elic Ayomanor,TEN,WR,Standard,37.75
Elic Ayomanor,TEN,WR,Half-PPR,49.39
Elic Ayomanor,TEN,WR,PPR,61.03
Antonio Gibson,NE,RB,Standard,40.88
Antonio Gibson,NE,RB,Half-PPR,48.15
Antonio Gibson,NE,RB,PPR,55.41
Rondale Moore,MIN,WR,Standard,37.69
Rondale Moore,MIN,WR,Half-PPR,47.96
Rondale Moore,MIN,WR,PPR,58.22
Dawson Knox,BUF,TE,Standard,35.89
Dawson Knox,BUF,TE,Half-PPR,47.26
Dawson Knox,BUF,TE,PPR,58.63
Audric Estime,DEN,RB,Standard,42.87
Audric Estime,DEN,RB,Half-PPR,47.08
Audric Estime,DEN,RB,PPR,51.3
Robert Woods,PIT,WR,Standard,33.99
Robert Woods,PIT,WR,Half-PPR,46.43
Robert Woods,PIT,WR,PPR,58.87
Malik Washington,MIA,WR,Standard,33.51
Malik Washington,MIA,WR,Half-PPR,46.43
Malik Washington,MIA,WR,PPR,59.35
Jaleel McLaughlin,DEN,RB,Standard,38.66
Jaleel McLaughlin,DEN,RB,Half-PPR,46.3
Jaleel McLaughlin,DEN,RB,PPR,53.94
Parker Washington,JAC,WR,Standard,34.89
Parker Washington,JAC,WR,Half-PPR,45.89
Parker Washington,JAC,WR,PPR,56.89
Jarquez Hunter,LAR,RB,Standard,40.89
Jarquez Hunter,LAR,RB,Half-PPR,45.43
Jarquez Hunter,LAR,RB,PPR,49.97
Tommy Tremble,CAR,TE,Standard,33.76
Tommy Tremble,CAR,TE,Half-PPR,44.71
Tommy Tremble,CAR,TE,PPR,55.66
Brock Wright,DET,TE,Standard,33.96
Brock Wright,DET,TE,Half-PPR,43.88
Brock Wright,DET,TE,PPR,53.79
Mack Hollins,NE,WR,Standard,33.81
Mack Hollins,NE,WR,Half-PPR,42.71
Mack Hollins,NE,WR,PPR,51.61
Elijah Mitchell,KC,RB,Standard,38.05
Elijah Mitchell,KC,RB,Half-PPR,42.46
Elijah Mitchell,KC,RB,PPR,46.87
Terrance Ferguson,LAR,TE,Standard,31.74
Terrance Ferguson,LAR,TE,Half-PPR,42.27
Terrance Ferguson,LAR,TE,PPR,52.81
Jermaine Burton,CIN,WR,Standard,33.29
Jermaine Burton,CIN,WR,Half-PPR,41.51
Jermaine Burton,CIN,WR,PPR,49.73
Keaton Mitchell,BAL,RB,Standard,37.35
Keaton Mitchell,BAL,RB,Half-PPR,41.03
Keaton Mitchell,BAL,RB,PPR,44.71
Woody Marks,HOU,RB,Standard,34.43
Woody Marks,HOU,RB,Half-PPR,40.7
Woody Marks,HOU,RB,PPR,46.96
Khalil Herbert,IND,RB,Standard,36.46
Khalil Herbert,IND,RB,Half-PPR,40.59
Khalil Herbert,IND,RB,PPR,44.71
Emanuel Wilson,GB,RB,Standard,37.03
Emanuel Wilson,GB,RB,Half-PPR,40.47
Emanuel Wilson,GB,RB,PPR,43.91
Payne Durham,TB,TE,Standard,32.97
Payne Durham,TB,TE,Half-PPR,40.09
Payne Durham,TB,TE,PPR,47.2
Harold Fannin Jr.,CLE,TE,Standard,28.43
Harold Fannin Jr.,CLE,TE,Half-PPR,40.07
Harold Fannin Jr.,CLE,TE,PPR,51.71
Samaje Perine,CIN,RB,Standard,31.38
Samaje Perine,CIN,RB,Half-PPR,39.94
Samaje Perine,CIN,RB,PPR,48.5
Van Jefferson,TEN,WR,Standard,30.75
Van Jefferson,TEN,WR,Half-PPR,39.8
Van Jefferson,TEN,WR,PPR,48.85
Isaac TeSlaa,DET,WR,Standard,30.85
Isaac TeSlaa,DET,WR,Half-PPR,38.75
Isaac TeSlaa,DET,WR,PPR,46.65
Cam Akers,NO,RB,Standard,35.73
Cam Akers,NO,RB,Half-PPR,38.7
Cam Akers,NO,RB,PPR,41.67
Tyler Johnson,NYJ,WR,Standard,28.37
Tyler Johnson,NYJ,WR,Half-PPR,38.37
Tyler Johnson,NYJ,WR,PPR,48.37
Skyy Moore,KC,WR,Standard,29.28
Skyy Moore,KC,WR,Half-PPR,38.35
Skyy Moore,KC,WR,PPR,47.42
Sterling Shepard,TB,WR,Standard,28.19
Sterling Shepard,TB,WR,Half-PPR,38.23
Sterling Shepard,TB,WR,PPR,48.26
Bub Means,NO,WR,Standard,29.45
Bub Means,NO,WR,Half-PPR,38.13
Bub Means,NO,WR,PPR,46.81
Tai Felton,MIN,WR,Standard,28.87
Tai Felton,MIN,WR,Half-PPR,37.9
Tai Felton,MIN,WR,PPR,46.92
Emari Demercado,ARI,RB,Standard,31.17
Emari Demercado,ARI,RB,Half-PPR,37.53
Emari Demercado,ARI,RB,PPR,43.89
Tahj Brooks,CIN,RB,Standard,33.76
Tahj Brooks,CIN,RB,Half-PPR,37.43
Tahj Brooks,CIN,RB,PPR,41.11
Kyle Juszczyk,SF,RB,Standard,29
Kyle Juszczyk,SF,RB,Half-PPR,37.39
Kyle Juszczyk,SF,RB,PPR,45.78
Alexander Mattison,MIA,RB,Standard,32.02
Alexander Mattison,MIA,RB,Half-PPR,37.39
Alexander Mattison,MIA,RB,PPR,42.76
Kenneth Gainwell,PIT,RB,Standard,31.68
Kenneth Gainwell,PIT,RB,Half-PPR,37.3
Kenneth Gainwell,PIT,RB,PPR,42.92
Josh Oliver,MIN,TE,Standard,28.52
Josh Oliver,MIN,TE,Half-PPR,37.26
Josh Oliver,MIN,TE,PPR,46
Chris Rodriguez Jr.,WAS,RB,Standard,35.38
Chris Rodriguez Jr.,WAS,RB,Half-PPR,37.1
Chris Rodriguez Jr.,WAS,RB,PPR,38.81
Brevin Jordan,HOU,TE,Standard,27.76
Brevin Jordan,HOU,TE,Half-PPR,37.04
Brevin Jordan,HOU,TE,PPR,46.33
JuJu Smith-Schuster,KC,WR,Standard,27.7
JuJu Smith-Schuster,KC,WR,Half-PPR,36.26
JuJu Smith-Schuster,KC,WR,PPR,44.82
Josh Whyle,TEN,TE,Standard,25.96
Josh Whyle,TEN,TE,Half-PPR,36.25
Josh Whyle,TEN,TE,PPR,46.54
David Moore,CAR,WR,Standard,27.23
David Moore,CAR,WR,Half-PPR,35.51
David Moore,CAR,WR,PPR,43.78
Sean Tucker,TB,RB,Standard,32.29
Sean Tucker,TB,RB,Half-PPR,35.48
Sean Tucker,TB,RB,PPR,38.67
Chimere Dike,TEN,WR,Standard,27.77
Chimere Dike,TEN,WR,Half-PPR,35.47
Chimere Dike,TEN,WR,PPR,43.17
Luke Schoonmaker,DAL,TE,Standard,25.52
Luke Schoonmaker,DAL,TE,Half-PPR,35.24
Luke Schoonmaker,DAL,TE,PPR,44.96
Olamide Zaccheaus,CHI,WR,Standard,26.56
Olamide Zaccheaus,CHI,WR,Half-PPR,35.22
Olamide Zaccheaus,CHI,WR,PPR,43.88
Jahan Dotson,PHI,WR,Standard,26.72
Jahan Dotson,PHI,WR,Half-PPR,35.14
Jahan Dotson,PHI,WR,PPR,43.56
Luke Musgrave,GB,TE,Standard,25.38
Luke Musgrave,GB,TE,Half-PPR,34.93
Luke Musgrave,GB,TE,PPR,44.48
Derius Davis,LAC,WR,Standard,27.45
Derius Davis,LAC,WR,Half-PPR,34.87
Derius Davis,LAC,WR,PPR,42.3
Colby Parkinson,LAR,TE,Standard,25.74
Colby Parkinson,LAR,TE,Half-PPR,34.79
Colby Parkinson,LAR,TE,PPR,43.84
Jeremy Ruckert,NYJ,TE,Standard,23.77
Jeremy Ruckert,NYJ,TE,Half-PPR,34.32
Jeremy Ruckert,NYJ,TE,PPR,44.87
A.T. Perry,DEN,WR,Standard,27.12
A.T. Perry,DEN,WR,Half-PPR,33.97
A.T. Perry,DEN,WR,PPR,40.82
Tank Dell,HOU,WR,Standard,26.07
Tank Dell,HOU,WR,Half-PPR,33.73
Tank Dell,HOU,WR,PPR,41.39
Nate Adkins,DEN,TE,Standard,27.44
Nate Adkins,DEN,TE,Half-PPR,33.68
Nate Adkins,DEN,TE,PPR,39.91
Grant Calcaterra,PHI,TE,Standard,24.75
Grant Calcaterra,PHI,TE,Half-PPR,33.58
Grant Calcaterra,PHI,TE,PPR,42.42
Jake Bobo,SEA,WR,Standard,24.61
Jake Bobo,SEA,WR,Half-PPR,33.47
Jake Bobo,SEA,WR,PPR,42.33
Daniel Bellinger,NYG,TE,Standard,24.21
Daniel Bellinger,NYG,TE,Half-PPR,33.37
Daniel Bellinger,NYG,TE,PPR,42.53
Malachi Corley,NYJ,WR,Standard,24.66
Malachi Corley,NYJ,WR,Half-PPR,33.21
Malachi Corley,NYJ,WR,PPR,41.76
Mo Alie-Cox,IND,TE,Standard,25.52
Mo Alie-Cox,IND,TE,Half-PPR,33.12
Mo Alie-Cox,IND,TE,PPR,40.72
Jalen Royals,KC,WR,Standard,25.69
Jalen Royals,KC,WR,Half-PPR,33.1
Jalen Royals,KC,WR,PPR,40.51
Drew Ogletree,IND,TE,Standard,26.08
Drew Ogletree,IND,TE,Half-PPR,33.03
Drew Ogletree,IND,TE,PPR,39.98
Jacory Croskey-Merritt,WAS,RB,Standard,30.42
Jacory Croskey-Merritt,WAS,RB,Half-PPR,33
Jacory Croskey-Merritt,WAS,RB,PPR,35.59
Ben Sinnott,WAS,TE,Standard,24.52
Ben Sinnott,WAS,TE,Half-PPR,32.71
Ben Sinnott,WAS,TE,PPR,40.9
Luke McCaffrey,WAS,WR,Standard,23.51
Luke McCaffrey,WAS,WR,Half-PPR,32.61
Luke McCaffrey,WAS,WR,PPR,41.71
Trevor Etienne,CAR,RB,Standard,28.31
Trevor Etienne,CAR,RB,Half-PPR,32.58
Trevor Etienne,CAR,RB,PPR,36.86
Tyler Goodson,IND,RB,Standard,27.82
Tyler Goodson,IND,RB,Half-PPR,32.34
Tyler Goodson,IND,RB,PPR,36.85
Ja'Lynn Polk,NE,WR,Standard,24.78
Ja'Lynn Polk,NE,WR,Half-PPR,32.33
Ja'Lynn Polk,NE,WR,PPR,39.88
Dameon Pierce,HOU,RB,Standard,28.01
Dameon Pierce,HOU,RB,Half-PPR,32.16
Dameon Pierce,HOU,RB,PPR,36.31
Jelani Woods,IND,TE,Standard,26.62
Jelani Woods,IND,TE,Half-PPR,31.88
Jelani Woods,IND,TE,PPR,37.12
Charlie Kolar,BAL,TE,Standard,25.9
Charlie Kolar,BAL,TE,Half-PPR,31.87
